Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
OTIS,"Otis Worldwide Corp",+20.97,81.71,-0.13,-0.16%,92.84,61.28,+30.46%,2021-11-05
OXY,"Occidental Petroleum Corp",+141.29,33.42,-0.33,-0.98%,35.75,9.94,+219.20%,2021-11-05
PAYC,"Paycom Software Inc",+37.70,504.4,-7.6,-1.48%,558.97,302.44,+35.13%,2021-11-05
PAYX,"Paychex Inc",+39.62,124.63,0.89,+0.72%,125.81,85.3,+43.91%,2021-11-05
PBCT,"People's United Finl",+34.44,17.97,0.07,+0.39%,19.62,10.44,+63.22%,2021-11-05
PCAR,"Paccar Inc",+1.41,90,0.42,+0.47%,103.19,77.96,-0.67%,2021-11-05
PEAK,"Healthpeak Properties Inc",+12.77,34.24,-0.05,-0.15%,37.69,27.93,+19.47%,2021-11-05
PEG,"Public Service Enterprise Group Inc",+9.58,64.19,0.51,+0.80%,65.33,53.77,+9.19%,2021-11-05
PENN,"Penn Natl Gaming Inc",-28.40,61.76,4.36,+7.60%,142,56.35,-5.59%,2021-11-05
PEP,"Pepsico Inc",+18.79,166,1.69,+1.03%,166.43,128.32,+20.25%,2021-11-05
PFE,"Pfizer Inc",+33.27,48.61,4.76,+10.86%,51.86,33.36,+33.58%,2021-11-05
PFG,"Principal Financial Group Inc",+42.85,68.95,0.49,+0.72%,70.34,41.13,+60.31%,2021-11-05
PG,"Procter & Gamble Company",+5.12,146.04,0.72,+0.50%,147.23,121.54,+2.57%,2021-11-05
PGR,"Progressive Corp",+0.93,95.84,1.27,+1.34%,107.58,84.89,-1.49%,2021-11-05
PH,"Parker-Hannifin Corp",+24.74,325.75,0.11,+0.03%,330.6,236.11,+36.88%,2021-11-05
PHM,Pultegroup,+11.94,50.43,1.35,+2.75%,63.9,39.92,+9.58%,2021-11-05
PKG,"Packaging Corp of America",+0.46,135.38,0.98,+0.73%,156.54,121.35,+10.48%,2021-11-05
PKI,Perkinelmer,+26.15,168.84,-3.15,-1.83%,192,119.95,+21.99%,2021-11-05
PLD,"Prologis Inc",+47.39,146.69,-1.18,-0.80%,149.09,93.08,+38.54%,2021-11-05
PM,"Philip Morris International Inc",+16.82,94.3,0.58,+0.62%,106.51,70.13,+33.00%,2021-11-05
PNC,"PNC Bank",+57.64,207.1,-0.61,-0.29%,217.6,114.14,+76.75%,2021-11-05
PNR,"Pentair Ltd",+37.40,74.31,-0.32,-0.43%,80.4,50.03,+38.20%,2021-11-05
PNW,"Pinnacle West Capital Corp",-30.16,64.56,0.96,+1.51%,91.88,62.78,-23.58%,2021-11-05
POOL,"Pool Corp",+54.07,517.97,-4.2,-0.80%,528.75,305.47,+34.92%,2021-11-05
PPG,"PPG Industries",+12.31,163.09,-0.16,-0.10%,182.97,132.1,+17.96%,2021-11-05
PPL,"PPL Corp",-2.27,28.72,-0.17,-0.59%,30.81,26.15,+2.35%,2021-11-05
PRU,"Prudential Financial Inc",+45.89,110.92,-0.88,-0.79%,115.52,63.05,+69.68%,2021-11-05
PSA,"Public Storage",+38.24,322.88,-9.67,-2.91%,340.95,212.22,+39.98%,2021-11-05
PSX,"Phillips 66",+21.57,77.77,0.89,+1.16%,94.34,46.19,+61.38%,2021-11-05
PTC,"Ptc Inc",+16.66,125.94,5.01,+4.14%,153.73,89.99,+34.06%,2021-11-05
PVH,"Phillips-Van Heusen Corp",+64.08,122.91,3.35,+2.80%,125.42,58.82,+96.84%,2021-11-05
PWR,"Quanta Services",+69.54,117.42,4.14,+3.65%,122.95,64.1,+82.07%,2021-11-05
PXD,"Pioneer Natural Resources Company",+89.16,185.3,-0.52,-0.28%,196.64,77.1,+132.85%,2021-11-05
PYPL,"Paypal Holdings",+2.71,225.78,-2.44,-1.07%,310.16,178.6,+10.37%,2021-11-05
QCOM,"Qualcomm Inc",+16.61,163.03,6.92,+4.43%,168.55,122.17,+12.12%,2021-11-05
QRVO,"Qorvo Inc",-4.88,156.07,1.61,+1.04%,201.68,140.68,+6.39%,2021-11-05
RCL,"Royal Caribbean Cruises Ltd",+38.65,96.67,7.94,+8.95%,99.24,58.2,+60.66%,2021-11-05
RE,"Everest Re Group",+17.94,273.55,4.74,+1.76%,289.68,208.03,+29.14%,2021-11-05
REG,"Regency Centers Corp",+65.19,75.95,1.94,+2.62%,78.07,33.29,+109.92%,2021-11-05
REGN,"Regeneron Pharmaceuticals",+13.64,611.54,-36.09,-5.57%,686.62,441,+3.86%,2021-11-05
RF,"Regions Financial Corp",+59.22,24.31,0.04,+0.16%,24.77,12.98,+77.70%,2021-11-05
RHI,"Robert Half International Inc",+90.91,118.76,-0.81,-0.68%,120.83,51.51,+127.42%,2021-11-05
RJF,"Raymond James Financial",+66.66,100,-0.47,-0.47%,103.46,51.45,+88.35%,2021-11-05
RL,"Ralph Lauren Corp",+50.64,127.54,3.18,+2.56%,142.06,67.41,+82.38%,2021-11-05
RMD,"Resmed Inc",+23.76,260.55,-2.1,-0.80%,301.34,179.37,+22.43%,2021-11-05
ROK,"Rockwell Automation Inc",+44.31,339.01,-2.88,-0.84%,345.83,231.74,+35.44%,2021-11-05
ROL,"Rollins Inc",-7.31,35.86,-0.43,-1.18%,43,31.44,-15.01%,2021-11-05
ROP,"Roper Industries",+21.61,484.3,-3.35,-0.69%,505,365.23,+25.47%,2021-11-05
ROST,"Ross Stores Inc",+7.61,119.65,2.06,+1.75%,134.21,92.58,+26.03%,2021-11-05
RSG,"Republic Services",+37.52,132.76,-0.78,-0.58%,145.98,88.62,+39.00%,2021-11-05
RTX,"Raytheon Technologies Corp",+34.70,91.18,3.12,+3.54%,92.32,57.24,+56.45%,2021-11-05
