Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
ANTM,"Anthem Inc",+30.29,422.06,-0.55,-0.13%,439.9,286.04,+32.06%,2021-11-05
AON,"AON Plc",+39.47,288.53,-1.47,-0.51%,326.25,184.67,+55.64%,2021-11-05
AOS,"Smith A.O. Corp",+41.31,77.55,-0.31,-0.40%,79.62,52.08,+44.09%,2021-11-05
APA,"Apa Corp",+176.96,29.9,0.82,+2.82%,30.34,8.5,+233.33%,2021-11-05
APD,"Air Products and Chemicals",+19.22,309.31,8.1,+2.69%,327.89,245.75,+1.97%,2021-11-05
APH,"Amphenol Corp",+34.39,81.44,2.32,+2.93%,81.53,58.58,+36.35%,2021-11-05
APTV,"Aptiv Plc",+53.89,175.03,-2.43,-1.37%,180.81,103.57,+67.05%,2021-11-05
ARE,"Alexandria Real Estate Equities",+26.27,206.22,0.1,+0.05%,211.7,153.62,+30.20%,2021-11-05
ATO,"Atmos Energy Corp",-6.63,93.99,0.36,+0.38%,104.99,84.59,-1.08%,2021-11-05
ATVI,"Activision Blizzard",-23.91,67.83,-0.4,-0.59%,104.53,64.55,-15.36%,2021-11-05
AVB,"Avalonbay Communities",+41.65,237.84,4.12,+1.76%,241.63,146.95,+60.44%,2021-11-05
AVGO,"Broadcom Ltd",+48.25,558.92,10.3,+1.88%,559.67,360.36,+46.75%,2021-11-05
AVY,"Avery Dennison Corp",+46.65,226.42,8.07,+3.70%,228.88,145.35,+53.99%,2021-11-05
AWK,"American Water Works",+6.83,169.66,0.89,+0.53%,189.35,131.01,+7.24%,2021-11-05
AXP,"American Express Company",+48.37,176.69,4.16,+2.41%,189.03,96.27,+80.09%,2021-11-05
AZO,Autozone,+59.61,1817.94,8.89,+0.49%,1844.99,1085.85,+58.15%,2021-11-05
BA,"Boeing Company",+12.40,224.46,11.43,+5.37%,278.57,154.52,+42.89%,2021-11-05
BAC,"Bank of America Corp",+67.61,46.97,-0.36,-0.76%,48.69,24.23,+90.86%,2021-11-05
BAX,"Baxter International Inc",-5.82,78.04,-0.27,-0.34%,88.32,73.12,+0.36%,2021-11-05
BBWI,"Bath & Body Works Inc",+145.63,75.31,-0.58,-0.76%,77.44,26.19,+173.78%,2021-11-05
BBY,"Best Buy Company",+19.39,129.07,0.46,+0.36%,130.55,95.93,+4.88%,2021-11-05
BDX,"Becton Dickinson and Company",-0.77,243.71,-0.37,-0.15%,267.37,226.15,+3.86%,2021-11-05
BEN,"Franklin Resources",+66.47,35.88,-0.39,-1.08%,38.27,19.22,+78.24%,2021-11-05
BF-B,"Brown Forman Inc Cl B",-6.44,72.68,1.42,+1.99%,82.24,66.25,-3.24%,2021-11-05
BIIB,"Biogen Inc",-9.78,278.68,-1.73,-0.62%,468.55,223.25,-15.27%,2021-11-05
BIO,"Bio-Rad Laboratories",+20.98,725.61,-57.61,-7.36%,832.7,507.22,+15.07%,2021-11-05
BK,"Bank of New York Mellon Corp",+50.96,58.82,-0.24,-0.41%,60.52,34.92,+65.22%,2021-11-05
BKNG,"Booking Holdings Inc",+29.84,2618.97,181.96,+7.47%,2631.68,1701.09,+48.11%,2021-11-05
BKR,"Baker Hughes A Ge Co. Cl A",+29.93,24.8,-0.14,-0.56%,27.66,15.35,+57.66%,2021-11-05
BLK,"Blackrock Inc",+41.01,955.11,1.07,+0.11%,967.94,645.12,+42.94%,2021-11-05
BLL,"Ball Corp",-1.82,90.49,-0.99,-1.08%,102.76,77.95,-6.86%,2021-11-05
BMY,"Bristol-Myers Squibb Company",-8.70,59.45,0.2,+0.34%,69.75,56.11,-6.75%,2021-11-05
BR,"Broadridge Financial Solutions Llc",+18.20,173.81,2.44,+1.42%,185,137.91,+20.13%,2021-11-05
BRK-B,"Berkshire Hathaway Cl B",+23.85,287.88,0.19,+0.07%,295.08,207.59,+38.77%,2021-11-05
BRO,"Brown & Brown",+35.32,61.97,0.44,+0.72%,67.24,42.72,+36.20%,2021-11-05
BSX,"Boston Scientific Corp",+12.95,43.16,0.66,+1.55%,46.28,32.99,+22.58%,2021-11-05
BWA,"Borgwarner Inc",+18.91,46.9,0.33,+0.71%,55.55,35.79,+26.69%,2021-11-05
BXP,"Boston Properties",+24.60,116.91,2.19,+1.91%,124.24,72.53,+56.42%,2021-11-05
C,"Citigroup Inc",+22.35,66.99,-0.01,-0.01%,80.29,42.5,+55.54%,2021-11-05
CAG,"Conagra Brands Inc",-11.33,32.59,-0.06,-0.18%,39.09,32.11,-9.87%,2021-11-05
CAH,"Cardinal Health",-15.58,49.54,0.38,+0.77%,62.96,47.15,-6.63%,2021-11-05
CARR,"Carrier Global Corp",+36.36,52.79,-0.18,-0.34%,58.89,34.21,+38.19%,2021-11-05
CAT,"Caterpillar Inc",+12.22,205.88,2.29,+1.12%,246.69,160.76,+26.24%,2021-11-05
CB,"Chubb Ltd",+31.04,193.19,3.19,+1.68%,197.92,136.77,+41.29%,2021-11-05
CBOE,"CBOE Global Markets Inc",+51.51,133.27,0.75,+0.57%,139,82.55,+60.47%,2021-11-05
CBRE,"CBRE Group Inc",+79.95,106.68,1.3,+1.23%,107.88,51.76,+101.59%,2021-11-05
CCI,"Crown Castle International Corp",+5.37,180.13,-0.92,-0.51%,204.62,146.15,+10.56%,2021-11-05
CCL,"Carnival Corp",+34.38,24.79,1.91,+8.35%,31.52,13.66,+74.82%,2021-11-05
CDAY,"Ceridian Hcm Holding Inc",+37.38,123.47,1.82,+1.50%,130.37,78.2,+35.62%,2021-11-05
CDNS,"Cadence Design Sys",+57.26,178,-1.56,-0.87%,180.63,109.2,+43.47%,2021-11-05
CDW,"CDW Corp",+32.30,187.07,2.07,+1.12%,203.82,125.46,+35.38%,2021-11-05
CE,"Celanese Corp",+31.04,169.4,2.58,+1.55%,173.93,115.42,+41.56%,2021-11-05
CERN,"Cerner Corp",-0.25,75.53,-0.16,-0.21%,84.2,67.96,+4.32%,2021-11-05
CF,"Cf Industries Holdings",+79.81,59.2,0.7,+1.20%,63.4,27.06,+116.53%,2021-11-05
CFG,"Citizens Financial Group Inc/Ri",+40.62,47.79,-0.04,-0.08%,51.14,27.49,+65.31%,2021-11-05
CHD,"Church & Dwight Company",+4.10,88.78,-0.57,-0.64%,91.86,77.62,-1.39%,2021-11-05
CHRW,"C.H. Robinson Ww",+1.50,93.82,-2.23,-2.32%,104.35,84.67,+5.65%,2021-11-05
CHTR,"Charter Communicatio",+3.99,689.32,3.25,+0.47%,825.62,585.45,+6.48%,2021-11-05
CI,"Cigna Corp",-4.57,214.12,0.96,+0.45%,272.81,190.88,-0.02%,2021-11-05
CINF,"Cincinnati Financial",+53.05,126.09,1.91,+1.54%,127,73.71,+69.13%,2021-11-05
CL,"Colgate-Palmolive Company",-7.73,77.84,0.55,+0.71%,86.41,74.01,-6.23%,2021-11-05
CLX,"Clorox Company",-20.73,163.26,-1.18,-0.72%,231.11,156.23,-23.34%,2021-11-05
CMA,"Comerica Inc",+69.21,87.55,-0.11,-0.13%,89.97,44.27,+88.40%,2021-11-05
CMCSA,"Comcast Corp A",+4.80,53.9,1.17,+2.22%,61.8,43.95,+21.53%,2021-11-05
CME,"CME Group Inc",+30.27,221.71,1.14,+0.52%,230.89,149.3,+47.36%,2021-11-05
CMG,"Chipotle Mexican Grill",+39.74,1794.35,-13.81,-0.76%,1958.55,1220.2,+36.94%,2021-11-05
CMI,"Cummins Inc",-1.25,237.07,1.91,+0.81%,277.09,216.41,+3.27%,2021-11-05
CMS,"Cms Energy Corp",-5.13,60.52,0.5,+0.83%,67.98,53.19,-6.08%,2021-11-05
CNC,"Centene Corp",+14.19,74.17,0.4,+0.54%,75.59,57.16,+9.27%,2021-11-05
CNP,"Centerpoint Energy Inc",+14.22,26.67,0.17,+0.64%,27.19,19.31,+17.64%,2021-11-05
COF,"Capital One Financial Corp",+58.47,154.87,1.41,+0.92%,177.95,77.11,+96.79%,2021-11-05
COO,"Cooper Companies",+21.14,424.22,3.56,+0.85%,463.59,324.34,+27.78%,2021-11-05
COP,Conocophillips,+109.26,75.45,2.14,+2.92%,77.98,28.78,+150.50%,2021-11-05
COST,"Costco Wholesale",+45.80,513.12,-2.5,-0.48%,520.21,307,+33.20%,2021-11-05
CPB,"Campbell Soup Company",-18.72,40.73,-0.23,-0.56%,53.77,39.76,-15.25%,2021-11-05
CPRT,"Copart Inc",+35.26,153.92,-1.39,-0.89%,158.11,101.92,+24.18%,2021-11-05
CRL,"Charles River Laboratories Intl",+43.39,375.23,-4.01,-1.06%,460.21,224.06,+49.15%,2021-11-05
CRM,"Salesforce.com Inc",+35.15,307.25,-0.79,-0.26%,311.4,201.51,+18.07%,2021-11-05
CSCO,"Cisco Systems Inc",+33.25,57.07,-0.05,-0.09%,60.27,37.08,+53.29%,2021-11-05
CSX,"CSX Corp",+19.27,35.41,-0.02,-0.06%,36.45,27.7,+22.06%,2021-11-05
CTAS,"Cintas Corp",+31.13,441.95,1.36,+0.31%,448.98,314.62,+30.34%,2021-11-05
CTLT,"Catalent Inc",+15.04,122.21,-6.83,-5.29%,142.64,91.87,+19.25%,2021-11-05
CTRA,"Coterra Energy Inc",+30.19,21.58,-0.17,-0.78%,23.64,14.28,+31.19%,2021-11-05
CTSH,"Cognizant Tech Sol",+6.24,79.91,0.37,+0.47%,82.73,66.19,+7.64%,2021-11-05
CTVA,"Corteva Inc",+28.16,47.6,0.2,+0.42%,49.98,33.62,+40.25%,2021-11-05
CTXS,"Citrix Systems Inc",-32.00,89.2,-5.9,-6.20%,145.19,89.07,-25.31%,2021-11-05
CVS,"CVS Corp",+35.61,93.78,-0.71,-0.75%,96.57,63.02,+52.71%,2021-11-05
CVX,"Chevron Corp",+36.77,114.74,1.23,+1.08%,115.29,70.83,+59.05%,2021-11-05
CZR,"Caesars Entertainment Inc",+56.41,106.48,3.36,+3.26%,119.81,54.04,+89.70%,2021-11-05
D,"Dominion Resources",-6.09,76.53,1.09,+1.44%,86.95,67.85,-7.95%,2021-11-05
DAL,"Delta Air Lines Inc",+16.38,44.29,3.3,+8.05%,52.28,31.03,+38.49%,2021-11-05
DD,"Du Pont De.Nemours Inc",+25.88,80.4,0.89,+1.12%,87.27,59.42,+33.58%,2021-11-05
DE,"Deere & Company",+30.27,355.2,4.35,+1.24%,400.34,245.96,+44.38%,2021-11-05
DFS,"Discover Financial Services",+38.12,116.47,1.99,+1.74%,135.69,67.38,+70.03%,2021-11-05
DG,"Dollar General Corp",+8.06,225.63,-0.58,-0.26%,239.35,173.5,+3.50%,2021-11-05
DGX,"Quest Diagnostics Inc",+13.85,140.55,-3.26,-2.27%,160.56,113.36,+9.76%,2021-11-05
DHI,"D.R. Horton",+22.68,92.5,2.35,+2.61%,106.89,64.32,+26.87%,2021-11-05
DHR,"Danaher Corp",+23.81,292.08,-13.91,-4.55%,333.96,211.22,+21.53%,2021-11-05
DIS,"Walt Disney Company",+17.29,175.63,5.35,+3.14%,203.02,124.61,+38.33%,2021-11-05
DISCA,"Discovery Comm A",+34.59,26.52,1.06,+4.16%,78.14,20.47,+23.75%,2021-11-05
DISCK,"Discovery Comm Inc",+47.41,25.68,0.98,+3.97%,66.7,18.49,+32.64%,2021-11-05
DISH,"Dish Network Corp",+10.63,37.86,0.78,+2.10%,47.05,27.44,+38.23%,2021-11-05
DLR,"Digital Realty Trust",+8.28,155.47,-0.69,-0.44%,168.3,124.65,+5.40%,2021-11-05
DLTR,"Dollar Tree Inc",+15.46,110,1.93,+1.79%,120.37,84.26,+15.67%,2021-11-05
DOV,"Dover Corp",+39.42,171.29,-0.85,-0.49%,176.46,113.86,+45.94%,2021-11-05
DOW,"Dow Inc",+5.08,58.31,1.14,+1.99%,71.38,48.03,+19.07%,2021-11-05
DPZ,"Domino's Pizza Inc",+28.57,495.88,-13.5,-2.65%,548.72,319.71,+25.15%,2021-11-05
DRE,"Duke Realty Corp",+42.90,56.04,-0.4,-0.71%,57,37.54,+38.06%,2021-11-05
DRI,"Darden Restaurants",+37.58,154.48,8.4,+5.75%,164.28,100.5,+52.17%,2021-11-05
DTE,"Dte Energy Company",+4.81,114.13,0.73,+0.64%,122.14,96.4,+9.45%,2021-11-05
DUK,"Duke Energy Corp",+7.10,101.68,0.66,+0.65%,108.38,85.56,+7.92%,2021-11-05
DVA,"Davita Healthcare Partners Inc",-5.74,109.36,5.1,+4.89%,136.48,97.5,+11.42%,2021-11-05
DVN,"Devon Energy Corp",+256.21,43.58,1.22,+2.88%,44.03,9.73,+333.63%,2021-11-05
DXC,"Dxc Technology Company",+47.29,34.33,0.5,+1.48%,44.18,18.03,+75.33%,2021-11-05
DXCM,Dexcom,+101.21,635.46,5.64,+0.90%,649.54,311.01,+78.95%,2021-11-05
EA,"Electronic Arts Inc",+10.25,139.57,-2.91,-2.04%,150.3,110.15,+8.76%,2021-11-05
EBAY,"Ebay Inc",+50.59,75.57,-0.71,-0.93%,81.19,45.36,+52.94%,2021-11-05
ECL,"Ecolab Inc",+11.66,230.68,2.58,+1.13%,231.25,196.71,+17.44%,2021-11-05
ED,"Consolidated Edison Company of New York",+0.67,78.21,1.93,+2.53%,82.75,65.56,-1.91%,2021-11-05
EFX,"Equifax Inc",+71.66,284.56,-0.02,-0.01%,286.59,149.51,+87.64%,2021-11-05
EIX,"Edison International",+6.19,64.05,1.01,+1.60%,66.68,53.92,+7.86%,2021-11-05
EL,"Estee Lauder Companies",+37.61,349.5,9.75,+2.87%,350.37,231.97,+47.56%,2021-11-05
EMN,"Eastman Chemical Company",+13.28,111.83,3.79,+3.51%,130.47,84.74,+29.40%,2021-11-05
EMR,"Emerson Electric Company",+23.78,97.93,0.77,+0.79%,105.99,69.56,+38.97%,2021-11-05
ENPH,"Enphase Energy Inc",+87.34,237.9,-4.7,-1.94%,244.88,108.05,+97.82%,2021-11-05
EOG,"Eog Resources",+111.65,95.12,4.22,+4.64%,96.19,34.04,+167.19%,2021-11-05
EQIX,"Equinix Inc",+3.59,781.92,-21.67,-2.70%,885.26,586.73,+0.11%,2021-11-05
EQR,"Equity Residential",+37.33,84.46,0.92,+1.10%,88.08,51.13,+62.24%,2021-11-05
ES,"Eversource Energy",-7.50,84.41,0.59,+0.70%,96.66,76.64,-8.45%,2021-11-05
ESS,"Essex Property Trust",+33.00,337.08,5.1,+1.54%,347.21,223.87,+49.06%,2021-11-05
ETN,"Eaton Corp",+48.29,171.3,-0.68,-0.40%,173.45,109.25,+56.00%,2021-11-05
ETR,"Entergy Corp",-2.46,104.25,1.35,+1.31%,115.01,85.78,-2.41%,2021-11-05
ETSY,"Etsy Inc",+100.38,260.12,-11.15,-4.11%,283.4,113.49,+81.09%,2021-11-05
EVRG,"Evergy Inc",+13.67,64.88,1.16,+1.82%,69.45,51.88,+17.56%,2021-11-05
EW,"Edwards Lifesciences Corp",+45.58,118.65,1.28,+1.09%,123.27,77.16,+53.00%,2021-11-05
EXC,"Exelon Corp",+31.96,54.14,0.03,+0.06%,54.7,38.35,+25.70%,2021-11-05
EXPD,"Expeditors Intl",+35.66,125.17,-5.56,-4.25%,131.62,86.7,+43.20%,2021-11-05
EXPE,"Expedia Group Inc",+44.13,182.17,24.62,+15.63%,187.93,100.8,+76.69%,2021-11-05
EXR,"Extra Space Storage Inc",+68.23,194.6,-4.28,-2.15%,203.99,106.33,+70.85%,2021-11-05
F,"Ford Motor Company",+131.84,19.29,-0.13,-0.67%,19.72,7.75,+141.43%,2021-11-05
FANG,"Diamondback Energy",+198.40,113.79,1.03,+0.91%,116.39,24.57,+334.31%,2021-11-05
FAST,"Fastenal Company",+24.41,58.23,-0.3,-0.51%,59.56,43.37,+25.66%,2021-11-05
FB,"Meta Platforms Inc",+21.47,341.13,5.28,+1.57%,384.33,244.61,+15.76%,2021-11-05
FBHS,"Fortune Brands Home & Security",+20.52,102.36,0.7,+0.69%,114,79.19,+14.84%,2021-11-05
FCX,"Freeport-Mcmoran Inc",+60.65,37.04,0.04,+0.11%,46.1,19.03,+96.81%,2021-11-05
FDX,"Fedex Corp",-13.95,242.77,-2.24,-0.91%,319.9,216.34,-13.01%,2021-11-05
FE,"Firstenergy Corp",+29.65,39.07,0.16,+0.41%,39.94,26.17,+32.94%,2021-11-05
FFIV,"F5 Networks Inc",+36.92,221.68,-0.95,-0.43%,225.64,139.73,+57.39%,2021-11-05
FIS,"Fidelity National Information Services",-25.86,113.66,1.91,+1.71%,155.96,104.29,-14.28%,2021-11-05
FISV,"Fiserv Inc",-13.04,100.36,-1.61,-1.58%,127.34,94.39,-1.76%,2021-11-05
FITB,"Fifth Third Bancorp",+64.53,44.08,0.1,+0.23%,45.92,22.93,+83.67%,2021-11-05
FLT,"Fleetcor Technologies",-10.10,244.76,3.01,+1.25%,295.36,229.79,+1.98%,2021-11-05
FMC,"FMC Corp",-1.42,106.63,2.28,+2.18%,123.66,87.27,-2.30%,2021-11-05
FOX,"Fox Corp Cl B",+39.15,38.61,0.19,+0.49%,42.14,25.26,+46.42%,2021-11-05
FOXA,"Fox Corp Cl A",+45.00,41.48,0.15,+0.36%,44.8,25.33,+55.88%,2021-11-05
FRC,"First Republic Bank",+60.34,219.05,0.05,+0.02%,222,127.6,+71.51%,2021-11-05
FRT,"Federal Realty Investment Trust",+50.21,132.56,5.84,+4.61%,135.55,67.9,+83.86%,2021-11-05
FTNT,"Fortinet Inc",+180.77,341.19,2.79,+0.82%,349.23,109.93,+185.49%,2021-11-05
FTV,"Fortive Corp",+14.67,78.71,0.65,+0.83%,78.99,64.58,+15.84%,2021-11-05
GD,"General Dynamics Corp",+29.71,201,2.84,+1.43%,210.21,138.14,+44.45%,2021-11-05
GE,"General Electric Company",+37.35,108.74,3.53,+3.36%,115.32,63.68,+70.12%,2021-11-05
GILD,"Gilead Sciences Inc",+6.23,66.32,-0.15,-0.23%,73.34,56.56,+11.22%,2021-11-05
GIS,"General Mills",+5.05,62.65,-0.06,-0.10%,64.65,53.96,+3.45%,2021-11-05
GL,"Globe Life Inc",+0.88,94.85,2.29,+2.47%,108.22,84.23,+9.91%,2021-11-05
GLW,"Corning Inc",+1.91,38.34,1.67,+4.55%,46.82,34.39,+11.16%,2021-11-05
GM,"General Motors Company",+34.96,58.52,-0.12,-0.20%,64.3,37.01,+57.57%,2021-11-05
GNRC,"Generac Holdings Inc",+90.85,442.88,-9.15,-2.02%,524.31,202.56,+91.95%,2021-11-05
GOOG,"Alphabet Cl C",+66.81,2984.82,11.16,+0.38%,3011.41,1699,+69.27%,2021-11-05
GOOGL,"Alphabet Cl A",+67.75,2977.04,11.69,+0.39%,3006.55,1694,+68.91%,2021-11-05
GPC,"Genuine Parts Company",+37.19,136.36,2.62,+1.96%,137.15,93.62,+41.72%,2021-11-05
GPN,"Global Payments Inc",-34.90,136.75,1.12,+0.83%,220.81,128.61,-21.52%,2021-11-05
GPS,"Gap Inc",+3.47,24.89,0.3,+1.22%,37.63,19.1,+16.85%,2021-11-05
GRMN,"Garmin Ltd",+14.14,142.18,-0.52,-0.36%,178.8,112.82,+25.52%,2021-11-05
GS,"Goldman Sachs Group",+70.57,407.08,-0.99,-0.24%,426.16,200.42,+100.57%,2021-11-05
GWW,"W.W. Grainger",+20.44,472.93,-6.9,-1.44%,484.03,356.23,+24.84%,2021-11-05
HAL,"Halliburton Company",+61.13,24.69,0.17,+0.69%,26.75,12.27,+96.42%,2021-11-05
HAS,"Hasbro Inc",+6.93,96,1.18,+1.24%,104.89,83.18,+14.15%,2021-11-05
HBAN,"Huntington Bcshs",+29.85,15.85,0.1,+0.63%,16.91,10.07,+49.95%,2021-11-05
HBI,"Hanesbrands Inc",+25.28,17.99,0.19,+1.07%,22.82,12.28,+34.96%,2021-11-05
HCA,"Hca Holdings Inc",+59.09,248.27,0.86,+0.35%,263.92,136.35,+80.48%,2021-11-05
HD,"Home Depot",+36.60,368.4,-3.78,-1.02%,375.15,246.59,+28.88%,2021-11-05
HES,"Hess Corp",+70.72,82.55,0.42,+0.51%,92.79,36.44,+123.11%,2021-11-05
HIG,"Hartford Financial Services Group",+50.43,71.83,-0.11,-0.15%,78.17,39.3,+79.84%,2021-11-05
HII,"Huntington Ingalls Industries",+11.33,194.02,2.71,+1.42%,224.13,151.5,+27.80%,2021-11-05
HLT,"Hilton Inc",+47.57,151.84,4.4,+2.98%,153.84,92.28,+61.39%,2021-11-05
HOLX,"Hologic Inc",-3.92,68.97,-2.86,-3.98%,85,60.1,-10.04%,2021-11-05
HON,"Honeywell International Inc",+10.58,226.06,3.57,+1.60%,236.86,182.88,+23.34%,2021-11-05
HPE,"Hewlett Packard Enterprise Comp",+40.19,15.46,0.19,+1.24%,16.74,9.09,+66.59%,2021-11-05
HPQ,"HP Inc",+50.75,31.95,0.62,+1.98%,36,18.69,+67.02%,2021-11-05
HRL,"Hormel Foods Corp",-15.74,43.21,0.07,+0.16%,52.51,40.48,-12.81%,2021-11-05
HSIC,"Henry Schein Inc",+21.70,80.1,1.42,+1.80%,83.45,60.7,+30.10%,2021-11-05
HST,"Host Marriott Financial Trust",+36.05,18.37,0.45,+2.51%,19.02,10.41,+68.07%,2021-11-05
HSY,"Hershey Foods Corp",+13.37,175.39,0.02,+0.01%,182.71,143.58,+21.29%,2021-11-05
HUM,"Humana Inc",+8.32,453.43,-0.12,-0.03%,475.44,370.22,+2.87%,2021-11-05
HWM,"Howmet Aerospace Inc",+38.68,33.4,2.4,+7.74%,36.03,18.67,+77.28%,2021-11-05
IBM,"International Business Machines",-2.37,123.61,2.76,+2.28%,152.84,113.39,+7.70%,2021-11-05
ICE,"Intercontinental Exchange",+37.32,136.08,-0.44,-0.32%,139.79,96.14,+34.79%,2021-11-05
IDXX,"Idexx Laboratories",+34.96,637.4,-2.56,-0.40%,706.95,421.15,+36.21%,2021-11-05
IEX,"Idex Corp",+21.97,234.51,1.13,+0.48%,236.67,176.62,+31.92%,2021-11-05
IFF,"International Flavors & Fragrances",+21.78,143.6,1.73,+1.22%,157.08,103.94,+33.52%,2021-11-05
ILMN,"Illumina Inc",+18.59,408.14,-13.69,-3.25%,555.77,292.65,+30.93%,2021-11-05
INCY,"Incyte Corp",-21.30,67.86,0.37,+0.55%,101.47,61.91,-19.83%,2021-11-05
INFO,"IHS Markit Ltd",+40.15,126.66,-0.45,-0.35%,131.4,83.26,+43.49%,2021-11-05
INTC,"Intel Corp",+2.26,50.92,0.61,+1.21%,68.49,44.55,+11.47%,2021-11-05
INTU,"Intuit Inc",+76.48,614.99,-10.69,-1.71%,631.56,337.72,+75.23%,2021-11-05
IP,"International Paper Company",-7.27,48.87,0.12,+0.25%,65.27,46,+4.22%,2021-11-05
IPG,"Interpublic Group of Companies",+60.66,36.42,0.64,+1.79%,39.35,18.97,+86.48%,2021-11-05
IPGP,"Ipg Photonics Corp",-19.07,171.36,2.39,+1.41%,262.55,151.27,-13.26%,2021-11-05
IQV,"Iqvia Holdings Inc",+36.25,247.19,-6.67,-2.63%,265.34,165.49,+43.96%,2021-11-05
IR,"Ingersoll Rand Inc",+35.40,57.25,0.1,+0.17%,58.43,39.65,+43.84%,2021-11-05
IRM,"Iron Mountain Inc",+74.60,47.65,1.43,+3.09%,49.58,24.85,+73.40%,2021-11-05
ISRG,"Intuitive Surg Inc",+49.66,364.95,1.63,+0.45%,369.69,227.47,+50.33%,2021-11-05
IT,"Gartner Inc",+113.30,331.46,0.75,+0.23%,368.99,144.37,+126.64%,2021-11-05
ITW,"Illinois Tool Works Inc",+11.89,234.07,1.45,+0.62%,242.07,192.89,+12.06%,2021-11-05
IVZ,"Invesco Plc",+50.04,25.98,0.05,+0.19%,29.71,13.78,+80.04%,2021-11-05
J,"Jacobs Engineering Group Inc",+34.64,142.63,0.88,+0.62%,145.97,97.21,+45.90%,2021-11-05
JBHT,"J B Hunt Transport",+47.27,193.27,-4,-2.03%,201.09,121.85,+53.44%,2021-11-05
JCI,"Johnson Controls Intl",+59.30,74.63,0.83,+1.12%,76.83,43.25,+71.64%,2021-11-05
JKHY,"Jack Henry & Assoc",-3.23,158.35,-0.3,-0.19%,179.98,141.65,+3.05%,2021-11-05
JNJ,"Johnson & Johnson",+5.77,163.43,-1.17,-0.71%,179.92,139.65,+16.94%,2021-11-05
JNPR,"Juniper Networks",+43.56,31.29,0.22,+0.71%,31.77,20.39,+52.56%,2021-11-05
JPM,"JP Morgan Chase & Company",+40.05,168.05,-0.24,-0.14%,172.96,102.39,+61.04%,2021-11-05
K,"Kellogg Company",-3.67,62.56,-0.35,-0.56%,68.6,56.61,-2.71%,2021-11-05
KEY,Keycorp,+53.32,23.68,0.15,+0.64%,24.57,12.82,+79.94%,2021-11-05
KEYS,"Keysight Technologies Inc Comm",+55.90,183.68,-2.38,-1.28%,187.78,109.97,+65.28%,2021-11-05
KHC,"Kraft Heinz Company",+13.37,37.84,0.65,+1.75%,44.95,29.53,+19.37%,2021-11-05
KIM,"Kimco Realty Corp",+66.52,24.34,0.93,+3.97%,24.95,10.17,+129.84%,2021-11-05
KLAC,"K L A-Tencor Corp",+77.42,416.73,7.65,+1.87%,418.4,223.13,+82.70%,2021-11-05
KMB,"Kimberly-Clark Corp",-4.95,132.23,0.98,+0.75%,144.44,125.27,-1.56%,2021-11-05
KMI,"Kinder Morgan",+21.11,16.95,0.2,+1.19%,19.29,11.45,+42.44%,2021-11-05
KMX,"Carmax Inc",+61.17,154.69,3.68,+2.44%,154.74,90.29,+65.76%,2021-11-05
KO,"Coca-Cola Company",+8.24,56.84,0.24,+0.42%,57.56,48.11,+14.97%,2021-11-05
KR,"Kroger Company",+30.60,42.32,-1.1,-2.53%,47.99,30.35,+29.34%,2021-11-05
KSU,"Kansas City Southern",+58.82,308.41,1.68,+0.55%,315.39,175.45,+67.97%,2021-11-05
L,"Loews Corp",+30.21,57.22,0.56,+0.99%,59.39,37.64,+51.02%,2021-11-05
LDOS,"Leidos Holdings Inc",-6.78,94.69,-0.08,-0.08%,113.75,87.97,+3.60%,2021-11-05
LEG,"Leggett & Platt Inc",-1.32,44.15,0.43,+0.98%,59.16,39.25,+4.35%,2021-11-05
LEN,"Lennar Corp",+33.21,104.29,2.89,+2.85%,110.61,69.69,+32.48%,2021-11-05
LH,"Laboratory Corp of America Holdings",+28.83,274.84,-9.4,-3.31%,309.6,192.79,+28.18%,2021-11-05
LHX,"L3Harris Technologies Inc",+14.28,223.97,1.83,+0.82%,246.08,168.7,+23.71%,2021-11-05
LIN,"Linde Plc",+31.81,331.99,0.49,+0.15%,332.61,240.8,+32.92%,2021-11-05
LKQ,"LKQ Corp",+59.16,57.28,-0.14,-0.24%,58.55,33.81,+64.41%,2021-11-05
LLY,"Eli Lilly and Company",+78.53,265,-6,-2.21%,275.87,138.61,+82.11%,2021-11-05
LMT,"Lockheed Martin Corp",-10.84,339.89,4.39,+1.31%,396.99,319.81,-6.80%,2021-11-05
LNC,"Lincoln National Corp",+62.31,72.46,0.65,+0.91%,77.57,33.75,+101.84%,2021-11-05
LNT,"Alliant Energy Corp",+1.64,56.42,0.77,+1.38%,62.35,45.99,+2.81%,2021-11-05
LOW,"Lowe's Companies",+51.37,235.54,-2.24,-0.94%,239.27,146.72,+39.17%,2021-11-05
LRCX,"Lam Research Corp",+32.97,610.77,12.04,+2.01%,673.8,395.85,+52.80%,2021-11-05
LUMN,Centurylink,+38.43,14.11,0.39,+2.84%,16.6,9.03,+52.05%,2021-11-05
LUV,"Southwest Airlines Company",+11.59,52.23,3.16,+6.44%,64.75,39.77,+27.24%,2021-11-05
LVS,"Las Vegas Sands",-27.96,42.64,2.9,+7.30%,66.76,35.59,-18.94%,2021-11-05
LW,"Lamb Weston Holdings Inc",-26.69,57.66,1.51,+2.69%,86.41,54.18,-14.91%,2021-11-05
